"N_all_x","N_all","N_manual_x","N_manual","N_manual_systematic_x","N_manual_systematic","S_all_x","S_all","S_manual_x","S_manual","S_manual_systematic_x","S_manual_systematic","composite_x","composite_y"
0.892857142857143,-0.000912295907693445,0.892857142857143,-0.000878177461453734,0.892857142857143,-0.00143733177041151,0.704225352112676,-0.000572144853446472,0.714285714285714,0.000384447929440711,0.714285714285714,0.000862065500406924,0.803571428571429,-0.000287633135002294
1.51446654611212,-0.0014252041764609,1.51446654611212,-0.00201051889015989,1.51446654611212,-0.00224317449109869,1.32822249955429,-0.0051117607658513,1.33815551537071,-0.00544697855842916,1.33815551537071,-0.00232471299399109,1.42631103074141,-0.00228394374254489
2.13607594936709,-0.00194929476199856,2.13607594936709,-0.00317053794844728,2.13607594936709,-0.00306655408372423,1.9522196469959,-0.00972327843679609,1.9620253164557,-0.0113620669989453,1.9620253164557,-0.00565118878454211,2.04905063291139,-0.00435887143413317
2.75768535262206,-0.00249574998107662,2.75768535262206,-0.00438591226589718,2.75768535262206,-0.00392500742022649,2.57621679443751,-0.0144785996248205,2.58589511754069,-0.0174444793447536,2.58589511754069,-0.00925705916739912,2.67179023508137,-0.00659103329381281
3.37929475587703,-0.00307575215046531,3.37929475587703,-0.0056843194720908,3.37929475587703,-0.00483607137254384,3.20021394187912,-0.0194496260884646,3.20976491862568,-0.0237778775485006,3.20976491862568,-0.0132820214387151,3.29452983725136,-0.00905904640562947
4.00090415913201,-0.00370048358693483,4.00090415913201,-0.00709343719660941,4.00090415913201,-0.00581728281261463,3.82421108932073,-0.0247082595862681,3.83363471971067,-0.0304459235628322,3.83363471971067,-0.0178657728946431,3.91726943942134,-0.0118415278536289
4.62251356238698,-0.00438112660725538,4.62251356238698,-0.00864094306903423,4.62251356238698,-0.00688617861237724,4.44820823676235,-0.030326401876771,4.45750452079566,-0.0375322793403947,4.45750452079566,-0.0231480108313361,4.54000904159132,-0.0150170947218567
5.24412296564195,-0.00512886352819717,5.24412296564195,-0.0103545147189465,5.24412296564195,-0.00806029564377001,5.07220538420396,-0.0363759547185131,5.08137432188065,-0.0451206068338343,5.08137432188065,-0.0292684325449471,5.1627486437613,-0.0186643640943586
5.86573236889693,-0.00595487594670677,5.86573236889693,-0.0122618277794637,5.86573236889693,-0.00935717077873132,5.69620253164557,-0.0429288198700342,5.70524412296564,-0.0532945679957971,5.70524412296564,-0.0363667353316291,5.78548824593128,-0.0228619530551802
6.4873417721519,-0.0068650359213043,6.4873417721519,-0.0143758316359211,6.4873417721519,-0.0107938781555137,6.32019967908718,-0.050039446344263,6.32911392405063,-0.0621188941054701,6.32911392405063,-0.0445471802030175,6.40822784810127,-0.0276705291792656
7.10895117540687,-0.00784715244993592,7.10895117540687,-0.0166593769486135,7.10895117540687,-0.0123646231384429,6.94419682652879,-0.0576851676929367,6.95298372513562,-0.0715730534391844,6.95298372513562,-0.0537713522492103,7.03096745027125,-0.0330679876938266
7.73056057866184,-0.00888519684450586,7.73056057866184,-0.0190646703799921,7.73056057866184,-0.0140307247720297,7.5681939739704,-0.0658220253717988,7.57685352622061,-0.0816125204064111,7.57685352622061,-0.0639649333580746,7.65370705244123,-0.0389978290650521
8.35216998191682,-0.00996314041691837,8.35216998191682,-0.0215439185925076,8.35216998191682,-0.0157509525995628,8.19219112141202,-0.0744060601331565,8.2007233273056,-0.0921927680980605,8.2007233273056,-0.0750536054171068,8.27644665461121,-0.0454022790083348
8.97377938517179,-0.0110649544790777,8.97377938517179,-0.0240493282486113,8.97377938517179,-0.0174840761643307,8.81618826885363,-0.0833933127293171,8.8245931283906,-0.103269269605043,8.8245931283906,-0.0869630503138036,8.89918625678119,-0.0522235632390672
9.59538878842676,-0.0121746103428881,9.59538878842676,-0.0265331060107541,9.59538878842676,-0.019188865009622,9.44018541629524,-0.0927398239125877,9.44846292947559,-0.114797498018268,9.44846292947559,-0.0996189499356615,9.52192585895117,-0.0594039074726418
10.2169981916817,-0.0132760793202538,10.2169981916817,-0.0289474585413869,10.2169981916817,-0.0208240886787252,10.0641825637369,-0.102401634435276,10.0723327305606,-0.126732926428647,10.0723327305606,-0.112946986170177,10.1446654611212,-0.0668855374244512
10.8386075949367,-0.014353332723079,10.8386075949367,-0.0312445925029608,10.8386075949367,-0.0223485167149289,10.6881797111785,-0.112334785049688,10.6962025316456,-0.13903102792709,10.6962025316456,-0.126872840904847,10.7674050632911,-0.0746106788098879
11.4602169981917,-0.0153904324037707,11.4602169981917,-0.0333769242594548,11.4602169981917,-0.0237209186615215,11.3121768586201,-0.122495318568118,11.3200723327306,-0.151647337614449,11.3200723327306,-0.141322269087786,11.3901446654611,-0.0825215938746539
12.0818264014467,-0.0163947295237157,12.0818264014467,-0.0353508107156611,12.0818264014467,-0.0249069015626937,11.9361740060617,-0.132849016685752,11.9439421338156,-0.164551384672084,11.9439421338156,-0.156239676191196,12.0128842676311,-0.0905732888769448
12.7034358047016,-0.0174277080860047,12.7034358047016,-0.037297986251495,12.7034358047016,-0.0259456559214132,12.5601711535033,-0.14339390026444,12.5678119349005,-0.177744347999755,12.5678119349005,-0.171612751081093,12.6356238698011,-0.0987792035012531
13.3250452079566,-0.0185585254019557,13.3250452079566,-0.0393679574528211,13.3250452079566,-0.0269211851510592,13.1841683009449,-0.154134652247722,13.1916817359855,-0.191231755892146,13.1916817359855,-0.187435307298394,13.2583634719711,-0.107178246224727
